mouse,session,date,LSpercentGo,SLpercentGo,SSpercentGo,ProbePercentGo
J3,baseline,20250306,0.68,0.96,0.28,NaN
J3,MM,20250307,0.4,0.75,0.475,1.0
J3,baseline,20250320,0.92,1.0,0.12244897959183673,NaN
J3,LL,20250321,0.6666666666666666,0.7142857142857143,0.14634146341463414,1.0
J3,baseline,20250324,0.9166666666666666,0.92,0.04,NaN
J3,XL,20250325,0.75,0.45,0.07692307692307693,0.75
J3,baseline,20250402,0.72,0.76,0.24,NaN
J3,LL,20250403,0.9,0.95,0.25,0.95
J3,baseline,20250404,0.96,0.96,0.1836734693877551,NaN
J3,XL,20250405,1.0,0.5,0.1,0.9
J3,baseline,20250407,1.0,0.88,0.1,NaN
J3,MM,20250408,0.9,0.7368421052631579,0.025,0.65
J6,baseline,20250319,0.92,1.0,0.12,NaN
J6,XL,20250320,0.8,0.85,0.325,1.0
J6,baseline,20250324,0.88,1.0,0.12,NaN
J6,MM,20250325,0.9,0.9,0.07692307692307693,1.0
J6,baseline,20250401,0.84,1.0,0.1,NaN
J6,LL,20250402,0.9,1.0,0.05263157894736842,1.0
J6,baseline,20250403,0.84,1.0,0.1,NaN
J6,XL,20250404,0.8947368421052632,0.95,0.07692307692307693,0.9
J6,baseline,20250405,0.88,0.92,0.04,NaN
J6,MM,20250406,0.95,0.95,0.1,1.0
J6,baseline,20250407,1.0,1.0,0.1,NaN
J6,LL,20250408,1.0,1.0,0.21052631578947367,1.0
J7,baseline,20250306,0.96,0.92,0.12,NaN
J7,LL,20250307,0.7,0.9,0.4,1.0
J7,baseline,20250319,0.9166666666666666,0.96,0.12244897959183673,NaN
J7,MM,20250320,0.8,1.0,0.025,1.0
J7,baseline,20250324,0.88,0.88,0.08,NaN
J7,XL,20250325,0.75,0.4,0.125,1.0
J7,baseline,20250402,0.8333333333333334,0.92,0.06,NaN
J7,XL,20250403,0.8421052631578947,0.75,0.10256410256410256,1.0
J7,baseline,20250404,0.88,1.0,0.12,NaN
J7,LL,20250405,0.85,0.9,0.07692307692307693,1.0
J7,baseline,20250406,0.76,0.84,0.12,NaN
J7,MM,20250407,0.75,0.85,0.075,0.95
